"","well","SangerID","carbon","temperature","color","tmp","Acetate","Lactate","CorrectedOD","CellNperML","Cacid","Tmatches","glucose","glucose_consumption","Cglucose_consumption","Cglucose_consumption_percell","Cacid_percell","acid_glu_ratio","acid_glu_ratio_per_cell"
"47","A2","894","Glu",12,"blue",22,3.39680347,0,0.063575,1719671963,6.79360694,"No",0.097262639,0.610224897973684,60.3766718504707,3.51094122306573e-11,3.95052491764094e-12,0.112520394579302,0.112520394579302
"48","A3","898","Gal",12,"blue",22,2.881294345,0,0.039175,1059664163,5.76258869,"No",0.098249075,0.609238461973684,60.279072223069,5.688507201415e-11,5.43812737205873e-12,0.0955984967498329,0.0955984967498329
"49","A4","900","Glu",42,"blue",22,0.654469041,0,0.055675,1505980913,1.308938081,"No",0.09134402,0.616143516973684,60.9622699117061,4.04801079385965e-11,8.69159807870686e-13,0.0214712818747691,0.0214712818747691
"50","A5","904","Gal",42,"blue",22,2.50818762,0.021780344,0.049775,1346388863,5.081716271,"No",0.090357583,0.617129953973684,61.0598696380495,4.53508427736078e-11,3.77433029242162e-12,0.0832251411790327,0.0832251411790326
"51","A6","916","Glu",37,"blue",22,2.237685244,0.260634348,0.060475,1635818513,5.257273532,"No",0.109593095,0.597894441973684,59.156675914299,3.61633490782599e-11,3.21384890207561e-12,0.0888703337492504,0.0888703337492504
"52","A7","920","Gal",37,"blue",22,2.378843955,0.263259117,0.061475,1662868013,5.547465262,"No",0.11649815,0.590989386973684,58.4734782256619,3.51642329809263e-11,3.33608273093891e-12,0.0948714772976412,0.0948714772976412
"53","A8","932","Glu",30,"blue",22,2.940991421,0.214700886,0.067475,1825165013,6.526085498,"No",0.098249075,0.609238461973684,60.279072223069,3.30266424097123e-11,3.57561395902125e-12,0.108264531243108,0.108264531243108
"54","A9","936","Gal",30,"blue",22,5.723745746,0.307224002,0.064275,1738606613,12.3691635,"No",0.114525277,0.592962259973684,58.668677579407,3.37446534142494e-11,7.11441185574278e-12,0.210830787574146,0.210830787574146
"55","A10","945","Glu",22,"blue",22,3.117595271,0,0.040675,1100238413,6.235190542,"Yes",0.117977805,0.589509731973684,58.3270786856176,5.30131269699794e-11,5.6671267502819e-12,0.106900442856184,0.106900442856184
"56","A11","947","Gal",22,"blue",22,4.684643516,0,0.028675,775644412.5,9.369287033,"Yes",0.110086313,0.597401223973684,59.1078761005982,7.6204862883091e-11,1.20793586365195e-11,0.158511651087818,0.158511651087818
"57","B2","895","Glu",12,"blue",22,3.922883952,0,0.042275,1143517613,7.845767905,"No",0.099235512,0.608252024973684,60.1814724967256,5.26283738987111e-11,6.86108181964662e-12,0.130368493483221,0.130368493483221
"58","B3","899","Gal",12,"blue",22,3.432870454,0,0.064075,1733196713,6.865740907,"No",0.102688039,0.604799497973684,59.8398737018778,3.45257253565296e-11,3.96131659811197e-12,0.114735217209934,0.114735217209934
"59","B4","901","Glu",42,"blue",22,2.17550079,0.070338575,0.051075,1381553213,4.562017306,"No",0.107127004,0.600360532973684,59.400675081745,4.29955752140436e-11,3.30209308123118e-12,0.0768007653064872,0.0768007653064872
"60","B5","905","Gal",42,"blue",22,2.335936682,0.07165096,0.055975,1514095763,4.886826244,"No",0.100221948,0.607265588973684,60.0838728693238,3.96830070710157e-11,3.2275542693002e-12,0.0813334096260462,0.0813334096260462
"61","B6","917","Glu",37,"blue",22,2.567262851,0.276382963,0.058675,1587129413,5.963674593,"No",0.105154131,0.602333405973684,59.5958744354902,3.7549473878656e-11,3.75752257134939e-12,0.100068581080313,0.100068581080313
"62","B7","921","Gal",37,"blue",22,2.937882198,0.096586268,0.064375,1741311563,6.165523201,"No",0.10811344,0.599374096973684,59.3030754543433,3.40565563994611e-11,3.54073523199823e-12,0.103966331488942,0.103966331488942
"63","B8","933","Glu",30,"blue",22,1.630764971,0,0.046075,1246305713,3.261529943,"No",0.094796547,0.612690989973684,60.6206711168584,4.86402898458497e-11,2.61695819009698e-12,0.0538022737609215,0.0538022737609215
"64","B9","937","Gal",30,"blue",22,3.781725241,0.195015116,0.054975,1487046263,8.148495831,"No",0.106140567,0.601346969973684,59.4982748080884,4.0011044907275e-11,5.47965186675567e-12,0.136953480706507,0.136953480706507
"65","B10","946","Glu",22,"blue",22,2.716505541,0.061151883,0.054675,1478931413,5.616466732,"Yes",0.10811344,0.599374096973684,59.3030754543433,4.00985974961797e-11,3.79765192802758e-12,0.0947078492804989,0.0947078492804989
"66","B11","948","Gal",22,"blue",22,2.63006915,0.102491999,0.056675,1533030413,5.567614297,"Yes",0.115511714,0.591975822973684,58.5710778530636,3.82060769025746e-11,3.6317702830857e-12,0.0950573986527513,0.0950573986527513
"67","C9","938","Gal",30,"blue",22,4.410701218,0,0.029475,797284012.5,8.821402436,"No",0.11649815,0.590989386973684,58.4734782256619,7.33408387837978e-11,1.10643162257063e-11,0.150861599201544,0.150861599201544
"68","D2","897","Rib",12,"blue",22,2.80073452,0.292905924,0.050875,1376143313,6.480186811,"No",0.109099877,0.598387659973684,59.2054757279999,4.30227543662816e-11,4.70894764359473e-12,0.10945249119813,0.10945249119813
"69","D9","939","Gal",30,"blue",22,0,0,0.000175,4733662.5,0,"No",0.121430333,0.586057203973684,57.9854797918282,1.2249601612246e-08,0,0,0
"71","E2","892","Fru",12,"blue",22,3.915421818,0,0.039075,1056959213,7.830843636,"No",0.089864365,0.617623171973684,61.1086694517504,5.78155416974925e-11,7.40884183579182e-12,0.12814619768776,0.12814619768776
"72","E3","896","Rib",12,"blue",22,2.973949182,0,0.031575,854087962.5,5.947898363,"No",0.082959309,0.624528227973684,61.7918672393292,7.23483645155919e-11,6.9640348818287e-12,0.0962569773132587,0.0962569773132587
"73","E4","908","Fru",42,"blue",22,2.95591569,0,0.045575,1232780963,5.91183138,"No",0.09134402,0.616143516973684,60.9622699117061,4.94510150151516e-11,4.7955245558087e-12,0.096975250241868,0.096975250241868
"74","E5","912","Rib",42,"blue",22,5.905946196,0,0.045075,1219256213,11.81189239,"No",0.098742293,0.608745243973684,60.2302724093681,4.93991925299856e-11,9.68778527766256e-12,0.196112219279334,0.196112219279334
"75","E6","924","Fru",37,"blue",22,6.601168394,0.166798846,0.049575,1340978963,13.70273333,"No",0.113045623,0.594441913973684,58.8150770205096,4.38598058905639e-11,1.0218455104877e-11,0.232979943649851,0.232979943649851
"76","E7","928","Rib",37,"blue",22,3.731355834,0,0.044575,1205731463,7.462711667,"No",0.108606658,0.598880878973684,59.2542756406424,4.91438412772367e-11,6.18936462720472e-12,0.125943851077665,0.125943851077665
"77","E8","940","Fru",30,"blue",22,5.515427824,0.196327501,0.055175,1492456163,11.61983815,"No",0.102194821,0.605292715973684,59.8886735155787,4.01275930243713e-11,7.78571487596852e-12,0.194023969273211,0.194023969273211
"78","E9","943","Rib",30,"blue",22,3.937186377,0,0.045475,1230076013,7.874372754,"No",0.100715166,0.606772370973684,60.035073055623,4.88059863139718e-11,6.40153345872943e-12,0.131162874520105,0.131162874520105
"79","E10","949","Fru",22,"blue",22,6.196347597,0.28097631,0.063875,1727786813,13.23562412,"Yes",0.095289766,0.612197770973684,60.5718712042158,3.50574913226959e-11,7.66044978490063e-12,0.218511065563363,0.218511065563363
"80","E11","951","Rib",22,"blue",22,2.391280846,0,0.027175,735070162.5,4.782561692,"Yes",0.107127004,0.600360532973684,59.400675081745,8.08095309973149e-11,6.50626557298195e-12,0.0805135915613486,0.0805135915613486
"81","F2","893","Fru",12,"blue",22,3.085881199,0,0.027275,737775112.5,6.171762398,"No",0.115018496,0.592469040973684,58.6198776667645,7.94549405009436e-11,8.36537082023081e-12,0.105284463967744,0.105284463967744
"82","F3","897","Rib",12,"blue",22,4.494359086,0,0.051675,1397782913,8.988718173,"No",0.114032059,0.593455477973684,58.7174773931079,4.20075798945669e-11,6.43069684813067e-12,0.153084202048078,0.153084202048078
"83","F4","809","Fru",42,"blue",22,3.001932186,0,0.040575,1097533463,6.003864372,"No",0.119950678,0.587536858973684,58.1318793318725,5.29659288683324e-11,5.47032466380481e-12,0.103280066651969,0.103280066651969
"84","F5","913","Rib",42,"blue",22,3.19967875,0,0.048975,1324749263,6.399357501,"No",0.118964242,0.588523294973684,58.2294789592742,4.39550944360663e-11,4.83061789859626e-12,0.109898931183563,0.109898931183563
"85","F6","925","Fru",37,"blue",22,4.465754238,0.205514193,0.053875,1457291813,9.548051054,"No",0.115511714,0.591975822973684,58.5710778530636,4.01917291585468e-11,6.55191428979777e-12,0.163016481922239,0.163016481922239
"86","F7","929","Rib",37,"blue",22,2.634422062,0.044747075,0.049875,1349093813,5.403085349,"No",0.113045623,0.594441913973684,58.8150770205096,4.3595987509365e-11,4.00497378087079e-12,0.0918656511682518,0.0918656511682518
"87","F8","941","Fru",30,"blue",22,2.913630261,0.209451347,0.054675,1478931413,6.455614563,"No",0.114525277,0.592962259973684,58.668677579407,3.96696405686577e-11,4.3650533799298e-12,0.11003511293164,0.11003511293164
"88","F9","944","Rib",30,"blue",22,3.858833965,0.174016962,0.054275,1468111613,8.239718815,"No",0.116004932,0.591482604973684,58.5222780393628,3.98622812606025e-11,5.6124607570964e-12,0.140796276068711,0.140796276068711
"89","F10","950","Fru",22,"blue",22,3.847018918,0,0.027275,737775112.5,7.694037837,"Yes",0.130308261,0.577179275973684,57.107082749446,7.74044580548872e-11,1.04287034173981e-11,0.134730010124263,0.134730010124263
"90","F11","952","Rib",22,"blue",22,2.690388071,0.07165096,0.063275,1711557113,5.595729021,"Yes",0.110579531,0.596908005973684,59.0590762868973,3.45060505654872e-11,3.26937908089544e-12,0.0947479942594607,0.0947479942594607
"91","G9","942","Fru",30,"blue",22,4.615511797,0.710425638,0.060275,1630408613,11.36230051,"No",0.102688039,0.604799497973684,59.8398737018778,3.67023783024372e-11,6.96898950324669e-12,0.189878417300928,0.189878417300928
"92","G11","953","Rib",22,"blue",22,7.210643302,0,0.024775,670151362.5,14.4212866,"Yes",0.097755857,0.609731679973684,60.3278720367698,9.00212629751534e-11,2.15194468100481e-11,0.239048488088727,0.239048488088727
"93","A2","894","Glu",12,"blue",30,5.462296276,0.777296299,0.05186875,1403023753,13.25648145,"No",0.159959509,0.547528027973684,54.1733386882029,3.86118471425501e-11,9.44850821068031e-12,0.244704900436325,0.244704900436325
"94","A3","898","Gal",12,"blue",30,5.715598842,0.2979951,0.06566875,1776306853,12.32518298,"No",0.135040462,0.572447074973684,56.638870869111,3.18857469774739e-11,6.93865643719385e-12,0.21760996981177,0.21760996981177
"95","A4","900","Glu",42,"blue",30,3.781599521,0.046252039,0.05786875,1565320753,7.701955159,"No",0.151516439,0.555971097973684,55.0087101528765,3.51421330404328e-11,4.92036864919787e-12,0.140013374929084,0.140013374929084
"96","A5","904","Gal",42,"blue",30,4.473047066,0.959782536,0.06016875,1627534603,11.82544174,"No",0.13572893,0.571758606973684,56.5707526939045,3.47585560329279e-11,7.26586194739111e-12,0.209038083760095,0.209038083760095
"97","A6","916","Glu",37,"blue",30,4.58258331,0.709138789,0.05146875,1392203953,11.29258299,"No",0.147974328,0.559513208973684,55.3591725384905,3.97636944064118e-11,8.11129932914362e-12,0.203987568313967,0.203987568313967
"98","A7","920","Gal",37,"blue",30,4.675004517,0.653073741,0.05046875,1365154453,11.30923026,"No",0.143911783,0.563575753973684,55.7611275343573,4.08460210577779e-11,8.28421299520165e-12,0.20281566675695,0.20281566675695
"99","A8","932","Glu",30,"blue",30,4.479893081,1.805155522,0.06876875,1860160303,14.37525273,"Yes",0.13846705,0.569020486973684,56.2998385222996,3.02661219205147e-11,7.72796446995246e-12,0.255333818129978,0.255333818129978
"100","A9","936","Gal",30,"blue",30,6.013400507,1.674337075,0.07166875,1938603853,17.04981224,"Yes",0.153627119,0.553860417973684,54.7998759441044,2.82677019646388e-11,8.79489237247482e-12,0.311128664915058,0.311128664915058
"101","A10","945","Glu",22,"blue",30,3.932211857,0.360656037,0.04966875,1343514853,8.946391825,"No",0.139505003,0.567982533973684,56.1971417167689,4.18284484099923e-11,6.65894523236804e-12,0.15919656323607,0.15919656323607
"102","A11","947","Gal",22,"blue",30,7.659867186,0.393635477,0.03396875,918837703.1,16.5006408,"No",0.131301146,0.576186390973684,57.0088450471999,6.20445208711636e-11,1.7958166871396e-11,0.289440012095289,0.289440012095289
"103","B2","895","Glu",12,"blue",30,5.486257329,1.224717373,0.07036875,1903439503,14.64666678,"No",0.144949736,0.562537800973684,55.6584307288265,2.92409770003741e-11,7.69484228782447e-12,0.263152708191865,0.263152708191865
"104","B3","899","Gal",12,"blue",30,4.91803806,0.621193615,0.05526875,1494992053,11.69965697,"No",0.144658012,0.562829524973684,55.6872943892202,3.72492243537165e-11,7.82589910529778e-12,0.210095625911119,0.210095625911119
"105","B4","901","Glu",42,"blue",30,8.204125402,0.711337419,0.04696875,1270481203,18.54226306,"No",0.130294699,0.577192837973684,57.1084245964049,4.49502318189e-11,1.45946772106631e-11,0.324685248998574,0.324685248998574
"106","B5","905","Gal",42,"blue",30,7.892631706,0.565128567,0.06036875,1632944503,17.48064911,"No",0.144960238,0.562527298973684,55.6573916433846,3.40840680997624e-11,1.07049866531808e-11,0.314075967160019,0.314075967160019
"107","B6","917","Glu",37,"blue",30,11.3806765,1.418196756,0.04906875,1327285153,27.01594327,"No",0.141241927,0.566245609973684,56.0252875516481,4.22104379190988e-11,2.03542872523942e-11,0.482209810080757,0.482209810080757
"108","B7","921","Gal",37,"blue",30,8.231509463,1.310463918,0.06686875,1808766253,20.39441068,"No",0.125512179,0.581975357973684,57.5816151227455,3.18347464893495e-11,1.12753157828846e-11,0.35418267856026,0.35418267856026
"109","B8","933","Glu",30,"blue",30,9.25498875,0.463991616,0.06546875,1770896953,19.90195235,"Yes",0.10896794,0.598519596973684,59.2185297954108,3.34398507463075e-11,1.12383458090461e-11,0.336076434500445,0.336076434500445
"110","B9","937","Gal",30,"blue",30,8.693615495,1.040032507,0.06776875,1833110803,20.50732851,"Yes",0.141549053,0.565938483973684,55.9948999916184,3.05463804479136e-11,1.11871734520567e-11,0.366235648479944,0.366235648479944
"111","B10","946","Glu",22,"blue",30,8.717576549,1.185142044,0.06686875,1808766253,20.99057923,"No",0.140214475,0.567273061973684,56.1269453706785,3.10305133554914e-11,1.16049153367304e-11,0.373983994521208,0.373983994521208
"112","B11","948","Gal",22,"blue",30,6.975265656,1.214823541,0.06756875,1827700903,17.59500193,"No",0.144907728,0.562579808973684,55.6625870705941,3.04549759641904e-11,9.62684972203026e-12,0.316101044812831,0.316101044812831
"113","C9","938","Gal",30,"blue",30,8.468601907,0.440906008,0.03646875,986461453.1,18.25992184,"Yes",0.132657079,0.574830457973684,56.874686768729,5.76552551445348e-11,1.85105274844925e-11,0.321055338981484,0.321055338981484
"114","D2","897","Rib",12,"blue",30,7.159369729,0,0.00996875,269649703.1,14.31873946,"No",0.145627702,0.561859834973684,55.5913516390619,2.06161367878257e-10,5.31012617310017e-11,0.257571349460386,0.257571349460386
"115","D9","939","Gal",30,"blue",30,4.994599692,0,0.00026875,7269553.125,9.989199385,"Yes",0.142852825,0.564634711973684,55.8659026097135,7.68491565424986e-09,1.37411464133155e-09,0.17880673037337,0.17880673037337
"117","E2","892","Fru",12,"blue",30,6.609003838,1.342344043,0.05806875,1570730653,17.24503981,"No",0.133329794,0.574157742973684,56.8081272216854,3.61666891221517e-11,1.09789923415979e-11,0.303566420042396,0.303566420042396
"118","E3","896","Rib",12,"blue",30,7.437371689,0.792686705,0.05526875,1494992053,17.25280349,"No",0.131931853,0.575555683973684,56.9464418419239,3.80914679296452e-11,1.1540398128123e-11,0.302965434396965,0.302965434396965
"119","E4","908","Fru",42,"blue",30,7.242260253,0.355159463,0.04816875,1302940603,15.5499989,"No",0.138874296,0.568613240973684,56.2595449220449,4.31789022404461e-11,1.19345416546206e-11,0.276397523683254,0.276397523683254
"120","E5","912","Rib",42,"blue",30,10.07308758,0.211149241,0.04676875,1265071303,20.77962288,"No",0.145643455,0.561844081973684,55.5897930108991,4.3942023567425e-11,1.64256535032634e-11,0.373802846791063,0.373802846791063
"121","E6","924","Fru",37,"blue",30,7.293605367,1.015847584,0.05546875,1500401953,17.63475349,"No",0.157694915,0.549792621973684,54.3974014055168,3.62552190076473e-11,1.1753352796389e-11,0.324183748384193,0.324183748384193
"122","E7","928","Rib",37,"blue",30,4.544930226,0.311186876,0.04036875,1091954503,10.02342108,"No",0.149017533,0.558470003973684,55.2559560912972,5.06028007023084e-11,9.17933948022741e-12,0.181399830697685,0.181399830697685
"123","E8","940","Fru",30,"blue",30,6.834922343,0.806977796,0.07016875,1898029603,16.09077807,"Yes",0.151516439,0.555971097973684,55.0087101528765,2.89820085344983e-11,8.47762229027784e-12,0.292513276993436,0.292513276993436
"124","E9","943","Rib",30,"blue",30,4.98992122,0.573923084,0.06936875,1876390003,11.70161169,"Yes",0.134118031,0.573369505973684,56.7301377347807,3.02336601900883e-11,6.23623642808334e-12,0.206267993649271,0.206267993649271
"125","E10","949","Fru",22,"blue",30,6.612426845,1.453374825,0.07396875,2000817703,17.58497817,"No",0.175322034,0.532165502973684,52.6533447748119,2.63159130868665e-11,8.78889573179671e-12,0.333976469020297,0.333976469020297
"126","E11","951","Rib",22,"blue",30,7.266221306,0.244128681,0.03426875,926952553.1,15.26482866,"No",0.129845095,0.577642441973684,57.1529091680126,6.16567794941354e-11,1.64677562071003e-11,0.26708751806712,0.26708751806712
"127","F2","893","Fru",12,"blue",30,10.85373776,0.999357864,0.01796875,486045703.1,24.7055491,"No",0.138096561,0.569390975973684,56.3364953235076,1.1590781476761e-10,5.08296831808778e-11,0.438535428200325,0.438535428200325
"128","F3","897","Rib",12,"blue",30,10.76299889,0.396933421,0.01826875,494160553.1,22.71679805,"No",0.148161032,0.559326504973684,55.3406997325159,1.11989310731804e-10,4.59704804592182e-11,0.410489895498241,0.410489895498241
